Colonne1.1;Colonne1.2;Colonne1.3;Colonne1.4;Colonne1.5;Colonne1.6;Colonne1.7;Colonne1.8;Colonne1.9;Colonne1.10;Colonne1.11;Colonne1.12;Colonne1.13;Colonne1.14;Colonne1.15;Colonne1.16;Colonne1.17;Colonne1.18;Colonne1.19;Colonne1.20;Colonne1.21;Colonne1.22;Colonne1.23;Colonne1.24;Colonne1.25;Colonne1.26;Colonne1.27;Colonne1.28;Colonne1.29;Colonne1.30;Colonne1.31;Colonne1.32;Colonne1.33;Colonne1.34;Colonne1.35;Colonne1.36;Colonne1.37;Colonne1.38;Colonne1.39;Colonne1.40;Colonne1.41;Colonne1.42;Colonne1.43;Colonne1.44;Colonne1.45;Colonne1.46;Colonne1.47;Colonne1.48;Colonne1.49;Colonne1.50;Colonne1.51;Colonne1.52;Colonne1.53;Colonne1.54
Date;Time;Millisecond;TT201 °C;TT202 °C;TT203 °C;TT204 °C;TT205 °C;TT206 °C;TT207 °C;TT208 °C;TT211 °C;TT212 °C;TT213 °C;TT221 °C;TT222 °C;TT223 °C;FT211 L/h;FT221 L/h;PT230 bar;OXT240 %;WT210 kg;WT220 kg;TT201_A °C;TT2105_A °C;TT208_A °C;FT240;PIGNAT_RESERVE5;TT301 °C;TT302 °C;TT303 °C;WT301 kW?;WT302 kW?;WT303 kW?;FIVE_RESERVE1;FIVE_RESERVE2;FIVE_RESERVE3;FIVE_RESERVE4;FIVE_RESERVE5;TI104 °C;TI106 °C;TI108 °C;TI110 °C;PI111 bar;TI132 °C;TI141 °C;TI182 °C;TI181 °C;TI174 °C;TI186 °C;PI177 bar;FTZ142 L/h;VDF100_ETAT O=Fermé, 1=Ouvert;VDF170_ETAT O=Fermé, 1=Ouvert
2025/04/04;00:00:02;374;520.0;520.1;520.1;357.6;520.1;59.5;21.1;19.4;75.6;75.8;16.8;10.5;10.5;16.5;190.8;726.1;-0.009;0.1;6.3;0.3;357.6;339.6;17.8;0.002;0.0;150.3;149.3;149.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;150.0;148.3;150.3;98.3;-0.2;149.6;228.6;550.9;560.9;180.4;0.0;-0.0;0.0;0;0
2025/04/04;00:00:07;374;520.0;520.1;520.1;357.6;520.1;59.5;21.1;19.4;75.9;75.6;16.8;10.4;10.5;16.5;190.1;726.1;-0.009;0.1;6.3;0.3;357.7;339.6;17.8;0.002;0.0;149.9;149.2;149.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;150.0;148.0;150.2;98.5;-0.2;149.5;228.5;551.1;560.6;180.4;0.0;-0.0;0.0;0;0
2025/04/04;00:00:12;374;520.0;520.0;520.1;357.6;520.1;59.5;21.1;19.4;76.2;75.5;16.8;10.4;10.4;16.5;189.7;725.9;-0.009;0.1;6.3;0.3;357.6;339.6;17.8;0.002;0.0;150.1;149.2;150.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;150.2;147.5;149.9;98.4;-0.2;149.5;228.4;551.4;560.1;180.4;0.0;-0.0;0.0;0;0
2025/04/04;00:00:17;374;520.0;520.0;520.1;357.6;520.1;59.5;21.1;19.4;76.7;75.4;16.8;10.4;10.4;16.5;189.0;726.8;-0.009;0.1;6.3;0.3;357.7;339.6;17.8;0.002;0.0;150.2;149.3;149.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;150.6;147.4;149.9;98.5;-0.2;149.4;228.5;551.4;559.9;180.4;0.0;-0.0;0.0;0;0
2025/04/04;00:00:22;374;520.0;520.0;520.1;357.7;520.1;59.6;21.1;19.4;77.1;75.2;16.8;10.4;10.4;16.5;190.1;726.3;-0.009;0.1;6.3;0.3;357.6;339.6;17.8;0.002;0.0;150.1;149.4;149.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;150.9;147.2;149.8;98.4;-0.2;149.5;228.4;551.7;559.4;180.4;0.0;-0.0;0.0;0;0
2025/04/04;00:00:27;374;520.1;520.1;520.1;357.7;520.0;59.5;21.1;19.4;77.7;75.0;16.8;10.3;10.4;16.5;188.6;725.9;-0.009;0.1;6.3;0.3;357.6;339.6;17.8;0.003;0.0;150.1;149.4;149.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;151.3;147.1;149.8;98.4;-0.2;149.6;228.4;551.7;559.2;180.3;0.0;-0.0;0.0;0;0
2025/04/04;00:00:32;372;520.1;520.0;520.1;357.6;520.0;59.5;21.1;19.4;78.1;74.9;16.8;10.3;10.3;16.5;189.0;725.6;-0.009;0.1;6.3;0.3;357.7;339.6;17.8;0.002;0.0;150.1;149.3;149.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;151.6;147.1;149.8;98.4;-0.2;149.4;228.4;551.9;558.9;180.4;0.0;-0.0;0.0;0;0
2025/04/04;00:00:37;405;520.1;520.1;520.1;357.7;520.0;59.5;21.1;19.4;78.6;74.7;16.8;10.3;10.3;16.6;187.9;725.2;-0.009;0.1;6.3;0.3;357.7;339.7;17.8;0.002;0.0;149.8;149.5;149.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;151.9;147.1;149.9;98.4;-0.2;149.2;228.5;551.9;558.9;180.3;0.0;-0.0;0.0;0;0
2025/04/04;00:00:42;390;520.1;520.1;520.1;357.7;520.1;59.5;21.1;19.4;79.0;74.6;16.8;10.2;10.3;16.5;188.3;522.6;-0.009;0.1;6.3;0.3;357.7;339.6;17.8;0.002;0.0;150.2;149.3;149.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;152.1;147.3;150.0;98.4;-0.2;148.8;228.5;552.0;558.4;180.2;0.0;-0.0;0.0;0;0
