"Date","Time","Millisecond","TT201 °C","TT202 °C","TT203 °C","TT204 °C","TT205 °C","TT206 °C","TT207 °C","TT208 °C","TT211 °C","TT212 °C","TT213 °C","TT221 °C","TT222 °C","TT223 °C","FT211 L/h","FT221 L/h","PT230 bar","OXT240 %","WT210 kg","WT220 kg","TT201_A °C","TT2105_A °C","TT208_A °C","FT240","PIGNAT_RESERVE5","TT301 °C","TT302 °C","TT303 °C","WT301 kW?","WT302 kW?","WT303 kW?","FIVE_RESERVE1","FIVE_RESERVE2","FIVE_RESERVE3","FIVE_RESERVE4","FIVE_RESERVE5","TI104 °C","TI106 °C","TI108 °C","TI110 °C","PI111 bar","TI132 °C","TI141 °C","TI182 °C","TI181 °C","TI174 °C","TI186 °C","PI177 bar","FTZ142 L/h","VDF100_ETAT O=Fermé, 1=Ouvert","VDF170_ETAT O=Fermé, 1=Ouvert"
"2025/02/13","00:00:01",223,"520.1","519.9","520.0","364.2","520.0","77.8","25.4","25.4","84.3","82.1","26.4","10.5","10.8","26.9","222.1","723.8","-0.943","0.0","-4.3","0.0","364.2","326.2","26.2","0.004","0.0","150.1","149.4","149.7","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","190.9","193.1","190.2","181.5","-0.1","190.1","226.2","451.2","452.9","196.2","0.0","0.0","0.0","0","0"
"2025/02/13","00:00:06",223,"520.0","519.9","520.0","364.2","520.0","77.7","25.4","25.4","84.3","82.1","26.4","10.6","10.9","26.9","223.2","724.5","-0.942","0.0","-4.3","0.0","364.2","326.2","26.2","0.004","0.0","150.1","149.4","149.9","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","190.8","193.2","190.3","181.5","-0.1","190.1","226.1","451.2","452.9","196.2","0.0","0.0","0.0","0","0"
"2025/02/13","00:00:11",223,"520.0","520.0","520.0","364.2","520.0","77.7","25.4","25.4","84.4","82.1","26.4","10.6","10.9","26.9","223.2","724.0","-0.942","0.0","-4.3","0.0","364.2","326.2","26.2","0.003","0.0","150.0","149.5","150.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","190.5","193.1","190.2","181.5","-0.1","190.0","226.2","451.2","452.9","196.2","0.0","0.0","0.0","0","0"
"2025/02/13","00:00:16",221,"520.0","519.9","520.0","364.2","520.0","77.7","25.4","25.5","84.4","82.1","26.4","10.6","10.9","26.9","222.1","723.3","-0.942","0.0","-4.3","0.0","364.2","326.2","26.2","0.004","0.0","150.1","149.2","149.7","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","190.5","193.1","190.2","181.5","-0.1","190.1","226.2","451.2","452.8","196.4","0.0","0.0","0.0","0","0"
"2025/02/13","00:00:21",221,"520.0","520.0","520.0","364.2","520.0","77.7","25.4","25.5","84.3","82.1","26.4","10.6","10.9","26.9","223.6","724.3","-0.942","0.0","-4.3","0.0","364.2","326.2","26.2","0.003","0.0","149.9","149.2","149.9","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","190.5","193.1","190.2","181.4","-0.1","190.1","226.2","451.1","452.9","196.5","0.0","0.0","0.0","0","0"
"2025/02/13","00:00:26",239,"520.1","519.9","520.0","364.2","520.0","77.7","25.4","25.5","84.3","82.1","26.4","10.6","10.9","26.9","223.2","723.6","-0.942","0.0","-4.3","0.0","364.2","326.1","26.2","0.003","0.0","150.1","149.4","150.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","190.5","193.0","190.3","181.5","-0.1","190.1","226.3","451.1","452.8","196.2","0.0","0.0","0.0","0","0"
"2025/02/13","00:00:31",255,"520.0","520.0","520.0","364.2","520.0","77.7","25.4","25.5","84.3","82.1","26.4","10.6","11.0","26.9","223.2","724.0","-0.942","0.0","-4.3","0.0","364.2","326.1","26.2","0.003","0.0","150.1","149.4","149.9","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","190.2","192.7","190.2","181.4","-0.1","190.1","226.1","451.1","452.8","196.3","0.0","0.0","0.0","0","0"
"2025/02/13","00:00:36",220,"520.0","520.0","520.0","364.2","520.0","77.7","25.4","25.4","84.3","82.1","26.4","10.6","10.9","26.9","223.2","724.0","-0.942","0.0","-4.3","0.0","364.2","326.2","26.2","0.003","0.0","150.1","149.5","149.7","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","189.4","192.0","190.1","181.4","-0.1","190.0","226.1","451.1","452.7","196.3","0.0","-0.0","0.0","0","0"
"2025/02/13","00:00:41",221,"520.0","520.0","520.0","364.2","520.0","77.7","25.4","25.5","84.3","82.1","26.4","10.5","10.9","26.9","223.9","723.3","-0.942","0.0","-4.3","0.0","364.2","326.2","26.2","0.004","0.0","150.1","149.3","149.9","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","189.1","191.7","190.1","181.4","-0.1","190.0","226.1","451.1","452.7","196.3","0.0","0.0","0.0","0","0"
"2025/02/13","00:00:46",221,"520.0","520.0","520.0","364.2","520.0","77.7","25.4","25.5","84.2","82.1","26.4","10.4","10.9","26.9","224.3","723.6","-0.942","0.0","-4.3","0.0","364.2","326.2","26.2","0.003","0.0","150.1","149.4","149.9","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","188.8","191.1","190.2","181.4","-0.1","189.8","226.1","451.1","452.8","196.3","0.0","0.0","0.0","0","0"
"2025/02/13","00:00:51",220,"520.0","519.9","520.0","364.2","520.0","77.7","25.4","25.4","84.2","82.1","26.4","10.4","10.8","26.9","223.6","723.1","-0.942","0.0","-4.3","0.0","364.2","326.2","26.2","0.004","0.0","150.1","149.2","149.7","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","188.7","191.0","190.1","181.3","-0.1","190.0","226.2","451.0","452.7","196.2","0.0","-0.0","0.0","0","0"
"2025/02/13","00:00:56",220,"520.1","520.0","520.0","364.2","520.0","77.7","25.4","25.4","84.2","82.1","26.4","10.4","10.8","26.9","223.2","724.0","-0.942","0.0","-4.3","0.0","364.2","326.1","26.2","0.003","0.0","150.0","149.3","149.9","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","188.5","190.7","190.1","181.4","-0.1","190.0","226.3","450.9","452.6","196.2","0.0","-0.0","0.0","0","0"
"2025/02/13","00:01:01",220,"520.1","520.0","520.0","364.2","520.0","77.7","25.4","25.4","84.2","82.0","26.4","10.4","10.8","26.9","223.6","723.6","-0.942","0.0","-4.3","0.0","364.2","326.2","26.2","0.002","0.0","150.1","149.4","150.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","188.4","190.3","190.1","181.4","-0.1","189.8","226.2","450.9","452.6","196.4","0.0","0.0","0.0","0","0"
"2025/02/13","00:01:06",220,"520.0","520.0","520.0","364.2","520.0","77.7","25.4","25.4","84.2","82.0","26.4","10.3","10.7","26.9","224.3","723.3","-0.943","0.0","-4.3","0.0","364.2","326.1","26.2","0.004","0.0","150.1","149.3","149.7","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","188.5","190.0","190.1","181.4","-0.1","189.9","226.1","450.8","452.7","196.3","0.0","-0.0","0.0","0","0"
"2025/02/13","00:01:11",253,"520.1","520.0","520.0","364.2","520.0","77.7","25.4","25.5","84.2","82.0","26.4","10.3","10.7","26.9","223.2","724.5","-0.942","0.0","-4.3","0.0","364.2","326.2","26.2","0.003","0.0","150.1","149.3","149.7","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","188.8","189.6","190.0","181.4","-0.1","189.9","226.1","450.8","452.6","196.4","0.0","0.0","0.0","0","0"
"2025/02/13","00:01:16",236,"520.0","520.0","520.0","364.2","520.0","77.7","25.4","25.4","84.2","82.0","26.4","10.3","10.7","26.9","224.6","724.0","-0.942","0.0","-4.3","0.0","364.2","326.1","26.2","0.003","0.0","150.0","149.0","149.9","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","188.8","189.4","190.1","181.4","-0.1","190.0","226.2","450.7","452.6","196.4","0.0","-0.0","0.0","0","0"
